Fecha,AMZN_Close,AMZN_Volume,AMD_Close,AMD_Volume,AAPL_Close,AAPL_Volume,ASML_Close,ASML_Volume,BRKb_Close,BRKb_Volume,KO_Close,KO_Volume,JPM_Close,JPM_Volume,MA_Close,MA_Volume,META_Close,META_Volume,MSFT_Close,MSFT_Volume,NESN_Close,NESN_Volume,NVDA_Close,NVDA_Volume,PG_Close,PG_Volume,PM_Close,PM_Volume,TSM_Close,TSM_Volume,NNND_Close,NNND_Volume,TSLA_Close,TSLA_Volume,TM_Close,TM_Volume,V_Close,V_Volume,WMT_Close,WMT_Volume
2024-11-11,206.84,35460000.0,147.35,29870000.0,224.23,42010000.0,671.31,1520000.0,467.36,4120000.0,,,239.29,9020000.0,530.12,2210000.0,583.17,10210000.0,418.01,24500000.0,79.02,4080000.0,145.26,182330000.0,166.03,6360000.0,124.95,5100000.0,194.05,16610000.0,413.2,22860000.0,350.0,210520000.0,174.1,310350.0,310.92,4670000.0,84.21,10430000.0
2024-11-12,208.91,38940000.0,143.63,33560000.0,224.23,40400000.0,669.18,1710000.0,466.29,4400000.0,,,239.56,6860000.0,529.17,2580000.0,584.82,16290000.0,423.03,19400000.0,78.0,5120000.0,148.29,198640000.0,165.84,6510000.0,124.22,3840000.0,191.77,11820000.0,403.8,27300000.0,328.49,155730000.0,174.99,324740.0,309.85,4620000.0,84.99,12860000.0
2024-11-13,214.1,46210000.0,139.3,35150000.0,225.12,48570000.0,673.41,2450000.0,468.1,2860000.0,,,241.16,11470000.0,521.88,2680000.0,580.0,10760000.0,425.2,21500000.0,77.72,4050000.0,146.27,191900000.0,166.58,5410000.0,125.24,4940000.0,186.66,13880000.0,403.8,28310000.0,330.24,125410000.0,172.35,268590.0,309.48,4050000.0,85.5,12800000.0
2024-11-14,211.48,42620000.0,138.84,31680000.0,228.22,44920000.0,692.96,3930000.0,467.7,3780000.0,,,241.87,10170000.0,520.4,2480000.0,577.16,11050000.0,426.89,30250000.0,78.74,5030000.0,146.76,194460000.0,167.08,7440000.0,128.2,6850000.0,188.5,11450000.0,403.4,34900000.0,311.18,120730000.0,173.48,424920.0,308.25,4420000.0,84.47,15740000.0
2024-11-15,202.61,86590000.0,134.9,44220000.0,225.0,47920000.0,658.63,3060000.0,470.28,5820000.0,,,245.31,11520000.0,521.89,2410000.0,554.08,17710000.0,415.0,28250000.0,77.52,5590000.0,141.98,250130000.0,169.54,9940000.0,128.59,9070000.0,186.01,9830000.0,401.0,29060000.0,320.72,114440000.0,172.84,282330.0,309.64,5110000.0,84.25,17370000.0
2024-11-18,201.7,36510000.0,138.93,38780000.0,228.02,44690000.0,665.23,2009999.9999999998,472.2,3360000.0,,,245.03,9050000.0,521.63,2490000.0,554.4,14350000.0,415.76,24740000.0,78.18,3480000.0,140.15,221870000.0,170.75,6680000.0,131.72,4910000.0,187.48,10690000.0,404.2,20490000.0,338.74,126550000.0,174.78,289390.0,312.16,4590000.0,84.08,25280000.0
2024-11-19,204.61,31200000.0,139.39,23130000.0,228.28,36210000.0,662.16,1640000.0,468.86,3660000.0,,,243.09,6790000.0,519.46,2720000.0,561.09,9520000.0,417.79,18130000.0,76.66,6980000.0,147.01,227840000.0,170.76,5680000.0,129.54,5480000.0,189.67,9390000.0,406.2,13880000.0,346.0,88850000.0,175.39,254580.0,311.85,4890000.0,86.6,36340000.0
2024-11-20,202.88,32770000.000000004,137.6,28840000.0,229.0,35170000.0,658.43,1680000.0,468.83,3020000.0,,,240.78,9020000.0,512.54,2410000.0,565.52,9800000.0,415.49,19190000.0,76.52,5610000.0,145.89,309870000.0,170.89,7080000.0,130.39,4170000.0,188.36,10620000.0,410.8,15010000.0,342.03,66340000.0,172.91,295510.0,307.39,6350000.0,87.18,18180000.0
2024-11-21,198.38,58800000.0,137.49,29310000.0,228.52,42110000.0,672.16,2860000.0,472.06,4120000.0,,,244.76,8780000.0,515.1,3080000.0,563.09,11150000.0,412.87,20780000.0,75.96,5390000.0,146.67,400950000.0,172.75,6240000.0,131.21,3610000.0,191.24,18140000.0,407.6,12500000.0,339.64,58010000.0,173.38,314750.0,309.9,5760000.0,88.39,18730000.0
2024-11-22,197.12,31530000.0,138.35,21780000.0,229.87,38170000.0,672.88,1280000.0,476.57,3890000.0,,,248.55,8000000.0,520.86,3130000.0,559.14,9160000.0,417.0,24810000.0,76.0,6980000.0,141.95,236410000.0,176.28,10610000.0,129.99,4110000.0000000005,190.08,8840000.0,400.6,16950000.0,352.56,89140000.0,174.4,369060.0,309.92,5920000.0,90.44,23990000.0
